SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
Substation1,1,2022-02-22 00:00:00,26.0,79.0,185.0,54.0,4.0,14.3386471,120.9369394
Substation1,1,2022-02-23 00:00:00,27.0,76.0,181.0,51.0,4.0,14.3386471,120.9369394
Substation1,1,2022-02-24 00:00:00,26.0,90.0,198.0,56.0,4.0,14.3386471,120.9369394
Substation1,1,2022-02-25 00:00:00,30.0,95.0,200.0,52.0,4.0,14.3386471,120.9369394
Substation1,1,2022-02-26 00:00:00,23.0,110.0,188.0,59.0,3.0,14.3386471,120.9369394
Substation1,1,2022-02-27 00:00:00,25.0,95.0,193.0,50.0,3.0,14.3386471,120.9369394
Substation1,1,2022-02-28 00:00:00,21.0,125.0,261.0,63.0,2.0,14.3386471,120.9369394
Substation1,1,2022-03-01 00:00:00,18.0,138.0,263.0,60.0,0.0,14.3386471,120.9369394
Substation1,1,2022-03-02 00:00:00,18.0,179.0,366.0,66.0,0.0,14.3386471,120.9369394
Substation1,1,2022-03-03 00:00:00,14.0,181.0,347.0,55.0,0.0,14.3386471,120.9369394
Substation2,2,2022-01-01 00:00:00,43.0,90.0,159.0,7.0,1.0,14.96451,120.8985248
Substation2,2,2022-01-02 00:00:00,25.0,69.0,135.0,5.0,1.0,14.96451,120.8985248
Substation2,2,2022-01-03 00:00:00,34.0,103.0,192.0,7.0,1.0,14.96451,120.8985248
Substation2,2,2022-01-04 00:00:00,29.0,77.0,150.0,7.0,1.0,14.96451,120.8985248
Substation2,2,2022-01-05 00:00:00,26.0,81.0,161.0,7.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-06 00:00:00,25.0,100.0,194.0,8.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-07 00:00:00,46.0,87.0,159.0,7.0,3.0,14.96451,120.8985248
Substation2,2,2022-01-08 00:00:00,20.0,84.0,135.0,6.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-09 00:00:00,23.0,100.0,217.0,7.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-10 00:00:00,22.0,84.0,154.0,6.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-11 00:00:00,22.0,82.0,174.0,6.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-12 00:00:00,22.0,91.0,182.0,7.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-13 00:00:00,24.0,93.0,196.0,7.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-14 00:00:00,26.0,100.0,190.0,6.0,2.0,14.96451,120.8985248
Substation2,2,2022-01-15 00:00:00,20.0,118.0,228.0,8.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-16 00:00:00,40.0,91.0,163.0,6.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-17 00:00:00,24.0,111.0,252.0,10.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-18 00:00:00,21.0,122.0,248.0,8.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-19 00:00:00,22.0,97.0,211.0,9.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-20 00:00:00,16.0,89.0,204.0,7.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-21 00:00:00,31.0,121.0,248.0,8.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-22 00:00:00,25.0,120.0,242.0,9.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-23 00:00:00,38.0,128.0,218.0,0.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-24 00:00:00,18.0,129.0,259.0,0.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-25 00:00:00,19.0,130.0,266.0,0.0,0.0,14.96451,120.8985248
